,rs,baldereschi,N,E_CCSD_corr_cbs_pe,E_CCSD_corr_cbs_pe_err
0,0.5,False,14,-0.0420252522715972,5.224533939265919e-06
1,0.5,False,38,-0.04761559317159,5.24349547936658e-06
2,0.5,False,54,-0.0443365594559922,5.243917603482615e-06
3,0.5,False,66,-0.0540143876944437,5.249569946006364e-06
4,0.5,False,114,-0.0636846664230588,5.7672494057077655e-06
5,1.0,False,14,-0.0367038169260248,3.77969344119572e-06
6,1.0,False,38,-0.0402540468793245,3.849071202937744e-06
7,1.0,False,54,-0.0383684446693441,3.849489900790742e-06
8,1.0,False,66,-0.044509774807607,3.851820723857572e-06
9,1.0,False,114,-0.0502568702021481,4.561415706450763e-06
10,2.0,False,14,-0.0292086248904869,2.1161342744144278e-06
11,2.0,False,38,-0.0310635844358596,2.2945340740625787e-06
12,2.0,False,54,-0.0302245374105284,2.294756651372604e-06
13,2.0,False,66,-0.033506860689493,2.2958158231262067e-06
14,2.0,False,114,-0.0365333496530926,2.64974110285468e-06
15,5.0,False,14,-0.0181089887343041,5.555974054195778e-07
16,5.0,False,38,-0.0187454524019599,7.856630287350775e-07
17,5.0,False,54,-0.018524459505394,7.859542719803222e-07
18,5.0,False,66,-0.0197127560123982,8.574315361499114e-07
19,5.0,False,114,-0.0208516843225843,9.147980925659284e-07
