,rs,baldereschi,N,E_CCSD_os_corr_cbs_pe,E_CCSD_os_corr_cbs_pe_err
0,0.5,False,14,-0.0320860483988468,5.197334519042862e-06
1,0.5,False,38,-0.0337906325079747,5.223733315076597e-06
2,0.5,False,54,-0.0315177711421464,5.224133543062497e-06
3,0.5,False,66,-0.0371308121674963,5.226021879704272e-06
4,0.5,False,114,-0.0430285264641809,5.814587493149708e-06
5,1.0,False,14,-0.0283575246838931,3.7526161430732896e-06
6,1.0,False,38,-0.0290600223209349,3.843496152058854e-06
7,1.0,False,54,-0.0276501480625926,3.843963267896513e-06
8,1.0,False,66,-0.0312563326249473,3.851537932824024e-06
9,1.0,False,114,-0.0348536265240649,4.740114969584087e-06
10,2.0,False,14,-0.0229467536582395,2.081541536948228e-06
11,2.0,False,38,-0.0229027909332236,2.315871644808838e-06
12,2.0,False,54,-0.0221870305080923,2.316692341190185e-06
13,2.0,False,66,-0.0241232123589535,2.32146548795279e-06
14,2.0,False,114,-0.0260334884855571,2.887640552748259e-06
15,5.0,False,14,-0.0145518845482179,5.233193376159156e-07
16,5.0,False,38,-0.0141920751952221,8.379756059678555e-07
17,5.0,False,54,-0.0139531228866914,8.38038029721632e-07
18,5.0,False,66,-0.0146263280513473,8.689585904042745e-07
19,5.0,False,114,-0.0153210940817105,8.728707951471517e-07
