,rs,baldereschi,N,E_DCSD_os_corr_cbs_pe,E_DCSD_os_corr_cbs_pe_err
0,0.5,False,14,-0.0322675636757095,5.204967823559115e-06
1,0.5,False,38,-0.0340742233280741,5.232477024389366e-06
2,0.5,False,54,-0.031697792627622,5.232915579676409e-06
3,0.5,False,66,-0.037521033539274,5.236874991144132e-06
4,0.5,False,114,-0.0437839816841379,5.788774832964273e-06
5,1.0,False,14,-0.0288311304891875,3.756834614117993e-06
6,1.0,False,38,-0.0296884902028825,3.84699754792826e-06
7,1.0,False,54,-0.0281061437971574,3.847568330785655e-06
8,1.0,False,66,-0.0320447309455201,3.857619778650383e-06
9,1.0,False,114,-0.0361210657000542,4.948752945436835e-06
10,2.0,False,14,-0.0238812121348995,2.0528610110148726e-06
11,2.0,False,38,-0.0239602873265889,2.279934817948877e-06
12,2.0,False,54,-0.0230528671649442,2.2834478239869687e-06
13,2.0,False,66,-0.0253500250331144,2.315773835824177e-06
14,2.0,False,114,-0.0277148833544329,3.441281669339289e-06
15,5.0,False,14,-0.0159136880090768,4.53204053646461e-07
16,5.0,False,38,-0.0155183087969724,7.699941823944329e-07
17,5.0,False,54,-0.0151527936860244,7.724176703614543e-07
18,5.0,False,66,-0.0160561073331482,7.726720986157217e-07
19,5.0,False,114,-0.0170208239933968,9.290477137061688e-07
