,rs,baldereschi,N,diff_E_CCSDT_DCSD_corr_cbs_pe,diff_E_CCSDT_DCSD_corr_cbs_pe_err
0,0.1,1.0,14,-4.854649193705309e-06,6.776119407003869e-08
1,0.1,1.0,34,-1.927491973854e-05,9.450730826388408e-07
2,0.1,1.0,70,-3.640731732102546e-05,7.725535787482641e-06
3,0.1,1.0,156,-4.241458532946909e-05,7.72845989991534e-06
4,1.0,1.0,14,-0.0002750935310054,2.646708103752962e-06
5,1.0,1.0,34,-0.0007277327123182,2.238185087681762e-05
6,1.0,1.0,70,-0.0010392690361698,8.073745088290584e-05
7,1.0,1.0,156,-0.0011456573709927,8.116947010537887e-05
8,2.0,1.0,14,-0.0006356597915349,4.082000879009409e-06
9,2.0,1.0,34,-0.001315997764683,2.178083302876809e-05
10,2.0,1.0,70,-0.0016730591833653,5.7789279407589695e-05
11,2.0,1.0,156,-0.001786516631563,5.857538299544779e-05
12,3.0,1.0,14,-0.0008824289329727,4.369139604883912e-06
13,3.0,1.0,34,-0.001569133903962,1.1171925630137783e-05
14,3.0,1.0,70,-0.0018820481625638,1.979989560190608e-05
15,3.0,1.0,156,-0.0019833316115854,2.236757955529034e-05
16,4.0,1.0,14,-0.0010216288706376,3.790265812421379e-06
17,4.0,1.0,34,-0.0016408737670303,5.420626163441059e-06
18,4.0,1.0,70,-0.0019021755334046,1.2985378109191687e-05
19,4.0,1.0,156,-0.0019904828342997,2.9713898477315037e-05
20,5.0,1.0,14,-0.0010874212827614,2.847833852201746e-06
21,5.0,1.0,34,-0.0016259490834434,8.38602236838115e-06
22,5.0,1.0,70,-0.0018441935312476,2.718857871053828e-05
23,5.0,1.0,156,-0.001921744203219,2.9385484088210145e-05
